slot,seed,profile,method,finite_gap,method_label,running_mean_finite_gap
0,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,0.0
1,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,0.0
2,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,0.0
3,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,0.0
4,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,0.0
5,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,0.0
6,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,0.0
7,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,0.0
8,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,0.0
9,1000,balanced,anchored_mobility,0.1239541200744867,Anchored-Mobility,0.01239541200744867
10,1000,balanced,anchored_mobility,0.052626145111688,Anchored-Mobility,0.016052751380561336
11,1000,balanced,anchored_mobility,0.3097549142173363,Anchored-Mobility,0.04052793161695925
12,1000,balanced,anchored_mobility,0.3258810149722819,Anchored-Mobility,0.06247816879813791
13,1000,balanced,anchored_mobility,0.3894518055190872,Anchored-Mobility,0.08583342856392
14,1000,balanced,anchored_mobility,0.413775574735439,Anchored-Mobility,0.10769623830868794
15,1000,balanced,anchored_mobility,0.4245658058783306,Anchored-Mobility,0.12750058628179062
16,1000,balanced,anchored_mobility,0.0319272506288825,Anchored-Mobility,0.12187862536103129
17,1000,balanced,anchored_mobility,2.927170266910025,Anchored-Mobility,0.2777281610026421
18,1000,balanced,anchored_mobility,0.8515359009256827,Anchored-Mobility,0.30792856836701266
19,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,0.292532139948662
20,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,0.27860203804634476
21,1000,balanced,anchored_mobility,0.4887493076200826,Anchored-Mobility,0.28815418666333287
22,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,0.2756257437649271
23,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,0.26414133777472176
24,1000,balanced,anchored_mobility,0.8154145489261282,Anchored-Mobility,0.28619226622077804
25,1000,balanced,anchored_mobility,0.0490992225495574,Anchored-Mobility,0.27707330300265415
26,1000,balanced,anchored_mobility,5.759218066828225,Anchored-Mobility,0.4801157016628605
27,1000,balanced,anchored_mobility,7.723271867613448,Anchored-Mobility,0.7387998504468101
28,1000,balanced,anchored_mobility,3.0994747773054314,Anchored-Mobility,0.8202024341315901
29,1000,balanced,anchored_mobility,7.42396954374658,Anchored-Mobility,1.0403280044520897
30,1000,balanced,anchored_mobility,0.0211601789297333,Anchored-Mobility,1.0074516229836266
31,1000,balanced,anchored_mobility,0.4546095321654206,Anchored-Mobility,0.9901753076455577
32,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,0.960169995292662
33,1000,balanced,anchored_mobility,0.032573414678211,Anchored-Mobility,0.9328877429216488
34,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,0.9062338074096017
35,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,0.8810606460926683
36,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,0.8572481961982719
37,1000,balanced,anchored_mobility,0.3957534882409845,Anchored-Mobility,0.8451035986204485
38,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,0.8234342755788985
39,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,0.802848418689426
40,1000,balanced,anchored_mobility,3.5915762079824844,Anchored-Mobility,0.8708661696477934
41,1000,balanced,anchored_mobility,0.6650896691858179,Anchored-Mobility,0.8659667291606035
42,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,0.8458279680173336
43,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,0.8266046051078487
44,1000,balanced,anchored_mobility,4.231792106513467,Anchored-Mobility,0.9022754384724181
45,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,0.8826607550273655
46,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,0.8638807389629535
47,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,0.8458832235678919
48,1000,balanced,anchored_mobility,7.365256079171559,Anchored-Mobility,0.9789316491924566
49,1000,balanced,anchored_mobility,2.264213286392988,Anchored-Mobility,1.004637281936467
50,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,0.9849385117024188
51,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,0.9659973864773723
52,1000,balanced,anchored_mobility,11.021658133260644,Anchored-Mobility,1.1557268345298868
53,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,1.1343244857422963
54,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,1.1137004041833456
55,1000,balanced,anchored_mobility,10.4837270515809,Anchored-Mobility,1.281022308601159
56,1000,balanced,anchored_mobility,3.0963994913486204,Anchored-Mobility,1.3128710311055003
57,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,1.290235323672647
58,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,1.2683669283561614
59,1000,balanced,anchored_mobility,2369.164826448178,Anchored-Mobility,40.73330792035319
60,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,40.065548774117886
61,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,39.41933024550308
62,1000,balanced,anchored_mobility,12.398995579231723,Anchored-Mobility,38.99043604445116
63,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,38.38121048125661
64,1000,balanced,anchored_mobility,7.431330710391649,Anchored-Mobility,37.90505848478176
65,1000,balanced,anchored_mobility,9.21125407056661,Anchored-Mobility,37.47030387244517
66,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,36.91104560569226
67,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,36.3682361114909
68,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,35.84116022581712
69,1000,balanced,anchored_mobility,2.3158583348636057,Anchored-Mobility,35.36222734166064
70,1000,balanced,anchored_mobility,1.900799389636859,Anchored-Mobility,34.89093962402651
71,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,34.40634324035947
72,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,33.93502346994359
73,1000,balanced,anchored_mobility,3.713962581999567,Anchored-Mobility,33.526630755241634
74,1000,balanced,anchored_mobility,0.0023900693586256,Anchored-Mobility,33.07964087942986
75,1000,balanced,anchored_mobility,0.3362602637081409,Anchored-Mobility,32.648806923959846
76,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,32.224796444427895
77,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,31.811658028473694
78,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,31.408978812923394
79,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,31.01636657776185
80,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,30.633448471863556
81,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,30.25986983196278
82,1000,balanced,anchored_mobility,0.4517824033423494,Anchored-Mobility,29.900736248485426
83,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,29.544775102670126
84,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,29.19718951322695
85,1000,balanced,anchored_mobility,10.042747079656236,Anchored-Mobility,28.974463438417985
86,1000,balanced,anchored_mobility,0.0349573952292985,Anchored-Mobility,28.64182543792156
87,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,28.31635014885427
88,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,27.998188911226695
89,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,27.687097923324174
90,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,27.38284409999094
91,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,27.085204490208433
92,1000,balanced,anchored_mobility,2.7613744930224584,Anchored-Mobility,26.823657931098907
93,1000,balanced,anchored_mobility,8.29596373311415,Anchored-Mobility,26.62655480133311
94,1000,balanced,anchored_mobility,3.1056976287813995,Anchored-Mobility,26.378966831095724
95,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,26.104185926605144
96,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,25.835070607774163
97,1000,balanced,anchored_mobility,9.43864008420178,Anchored-Mobility,25.667760092227507
98,1000,balanced,anchored_mobility,7.275569322445335,Anchored-Mobility,25.48198038748223
99,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,25.22716058360741
100,1000,balanced,anchored_mobility,0.0,Anchored-Mobility,24.977386716442982
101,1000,balanced,anchored_mobility,4.123507326954041,Anchored-Mobility,24.772936918506815
102,1000,balanced,anchored_mobility,6.324983744767451,Anchored-Mobility,24.5938305770142
103,1000,balanced,anchored_mobility,3417.057742075493,Anchored-Mobility,57.213675879884185
104,1000,balanced,anchored_mobility,3547.960917606166,Anchored-Mobility,90.45888770584878
105,1000,balanced,anchored_mobility,8.374390483746538,Anchored-Mobility,89.68450565658367
