case_type,case_name,channel_mode,road_variant,primitive_noise,method,method_label,num_seeds,slots_per_seed,mean_penalty,mean_backlog,mean_virtual_backlog,mean_aoi_excess,mean_uncertainty_excess,mean_travel,mean_runtime_ms,solver_success_rate,mean_inner_iterations,mean_candidate_family_size
primitive_noise,noise_0,log_distance,gaussian,0.0,proposed_full,DCEE,5,100,2.140176374245775,239.35568996287984,576.0900874456679,10.788666666666668,1.82793300387863,9.55580382153473,107.60951300006127,1.0,36.112,9.996
primitive_noise,noise_0,log_distance,gaussian,0.0,full_candidate_exact,FC-Common,5,100,2.143594325904151,239.63179745790606,582.1973560931887,10.910666666666668,1.8202351692978513,9.781369743214604,119.94272140019166,1.0,40.622,17.02
primitive_noise,noise_0,log_distance,gaussian,0.0,anchored_mobility,Anchored-Mobility,5,100,2.120625530995496,227.91673221356217,576.7127335315728,10.790666666666668,1.834894022355119,9.64504731532128,24.236762599983194,1.0,7.38,17.012
primitive_noise,noise_0,log_distance,gaussian,0.0,static_uav,Static-Hovering,5,100,1.8946554152638195,273.22856202654015,678.1525442574139,12.549333333333331,3.0437053971742007,0.0,11.571024600030796,1.0,4.294,1.0
primitive_noise,noise_0,log_distance,gaussian,0.0,freshness_priority,Freshness-Priority,5,100,2.0201236237867644,342.11893073015614,570.3719523485694,10.668666666666669,1.8472183235450672,9.37484994287363,53.02527840010589,1.0,27.484,17.004
primitive_noise,noise_5,log_distance,gaussian,0.05,proposed_full,DCEE,5,100,2.111281456954992,243.43802551345024,589.1468551490991,10.984666666666667,1.9294300853620348,8.86534736382682,122.90861520008184,1.0,36.76,10.006
primitive_noise,noise_5,log_distance,gaussian,0.05,full_candidate_exact,FC-Common,5,100,2.126073930466316,227.81802069975896,589.0642574611966,10.984666666666667,1.9255532702617142,9.406120330330749,141.2491740000114,1.0,41.128,17.018
primitive_noise,noise_5,log_distance,gaussian,0.05,anchored_mobility,Anchored-Mobility,5,100,2.120908235290647,246.64844952874597,569.7185890464252,10.670666666666667,1.8327517517734915,9.60268067494234,24.987596599989047,1.0,6.958,17.028
primitive_noise,noise_5,log_distance,gaussian,0.05,static_uav,Static-Hovering,5,100,1.891175391502466,279.5070145561423,678.0640029176363,12.549333333333331,3.042515393054217,0.0,10.230775399933918,1.0,3.782,1.0
primitive_noise,noise_5,log_distance,gaussian,0.05,freshness_priority,Freshness-Priority,5,100,2.0198120301385485,342.11893073015614,571.7000449702227,10.609333333333334,1.8692270720720965,9.318088642763243,56.55462700003409,1.0,27.722,17.012
primitive_noise,noise_10,log_distance,gaussian,0.1,proposed_full,DCEE,5,100,2.1458849021980213,214.3523981595325,583.1898815010793,10.880666666666668,1.8583592495153471,9.685248465857923,132.1431094000145,1.0,39.064,10.022
primitive_noise,noise_10,log_distance,gaussian,0.1,full_candidate_exact,FC-Common,5,100,2.1309024445739024,212.723893349778,580.2641927549125,10.834666666666667,1.9188040187001165,9.605805499627635,149.03168479997112,1.0,42.058,17.022
primitive_noise,noise_10,log_distance,gaussian,0.1,anchored_mobility,Anchored-Mobility,5,100,2.1088277533413766,272.3908970123806,571.9311183489822,10.746666666666668,1.8613709765989985,9.679062833653694,21.53570219996618,1.0,6.342,17.022
primitive_noise,noise_10,log_distance,gaussian,0.1,static_uav,Static-Hovering,5,100,1.8829957170869969,281.6240221232915,680.0982345852635,12.669333333333332,3.04039622738488,0.0,11.62330919985834,1.0,4.146,1.0
primitive_noise,noise_10,log_distance,gaussian,0.1,freshness_priority,Freshness-Priority,5,100,2.001762208823962,342.11893073015614,583.1620059128815,10.803333333333333,1.9311088620268022,8.574339454415822,66.03349820001313,1.0,26.924,17.02
primitive_noise,noise_20,log_distance,gaussian,0.2,proposed_full,DCEE,5,100,2.086329119179657,234.86008472825446,603.7381754455815,11.242666666666667,2.064079418130326,8.399894599707183,127.1816866001318,1.0,37.252,9.932
primitive_noise,noise_20,log_distance,gaussian,0.2,full_candidate_exact,FC-Common,5,100,2.1150679757951574,243.5110271696261,610.3201288157017,11.544,2.094003700416035,9.570692557263303,145.9948097999877,1.0,41.812,16.878
primitive_noise,noise_20,log_distance,gaussian,0.2,anchored_mobility,Anchored-Mobility,5,100,2.1021977339128393,261.1516489425372,588.9871962785734,10.984666666666667,1.9155403336236145,9.062043407863436,25.80197960005171,1.0,7.378,16.954
primitive_noise,noise_20,log_distance,gaussian,0.2,static_uav,Static-Hovering,5,100,1.8736734796859378,284.8782599291714,680.7663872753568,12.679333333333332,3.0438883561213017,0.0,11.068038199999137,1.0,3.874,1.0
primitive_noise,noise_20,log_distance,gaussian,0.2,freshness_priority,Freshness-Priority,5,100,2.0103990596193375,342.11893073015614,583.7079287687177,10.938666666666668,1.9234109830457875,8.709718546257845,62.21899939998548,1.0,26.738,16.938
