case_type,case_name,channel_mode,road_variant,primitive_noise,method,method_label,num_seeds,slots_per_seed,mean_penalty,mean_backlog,mean_virtual_backlog,mean_aoi_excess,mean_uncertainty_excess,mean_travel,mean_runtime_ms,solver_success_rate,mean_inner_iterations,mean_candidate_family_size
road_risk,gaussian,log_distance,gaussian,0.0,proposed_full,DCEE,5,100,2.140176374245775,239.35568996287984,576.0900874456679,10.788666666666668,1.82793300387863,9.55580382153473,113.20276639999793,1.0,36.112,9.996
road_risk,gaussian,log_distance,gaussian,0.0,full_candidate_exact,FC-Common,5,100,2.143594325904151,239.63179745790606,582.1973560931887,10.910666666666668,1.8202351692978513,9.781369743214604,122.75647439993918,1.0,40.622,17.02
road_risk,gaussian,log_distance,gaussian,0.0,anchored_mobility,Anchored-Mobility,5,100,2.120625530995496,227.91673221356217,576.7127335315728,10.790666666666668,1.834894022355119,9.64504731532128,25.50572780004586,1.0,7.38,17.012
road_risk,gaussian,log_distance,gaussian,0.0,static_uav,Static-Hovering,5,100,1.8946554152638195,273.22856202654015,678.1525442574139,12.549333333333331,3.0437053971742007,0.0,11.727784999908181,1.0,4.294,1.0
road_risk,gaussian,log_distance,gaussian,0.0,freshness_priority,Freshness-Priority,5,100,2.0201236237867644,342.11893073015614,570.3719523485694,10.668666666666669,1.8472183235450672,9.37484994287363,55.81828820003284,1.0,27.484,17.004
road_risk,lane_side,log_distance,lane_side,0.0,proposed_full,DCEE,5,100,2.1628738760795776,241.1999926954834,576.365488227627,10.790666666666668,1.8287666124046187,9.617476265784143,122.73849080006767,1.0,39.504,9.986
road_risk,lane_side,log_distance,lane_side,0.0,full_candidate_exact,FC-Common,5,100,2.1508826968015224,230.11397842453314,582.2155364373004,10.910666666666668,1.8224681591573213,9.719810092692404,132.88746139992872,1.0,43.65,17.01
road_risk,lane_side,log_distance,lane_side,0.0,anchored_mobility,Anchored-Mobility,5,100,2.1245438655083144,253.67574101704744,576.5372921007446,10.790666666666668,1.8339808929038675,9.490089663165756,23.316688399972918,1.0,7.278,17.018
road_risk,lane_side,log_distance,lane_side,0.0,static_uav,Static-Hovering,5,100,1.8879254464262172,273.22856202654015,678.1525442574139,12.549333333333331,3.0437053971742007,0.0,11.179565600003116,1.0,4.294,1.0
road_risk,lane_side,log_distance,lane_side,0.0,freshness_priority,Freshness-Priority,5,100,2.0250265129596694,342.11893073015614,570.3531707470598,10.668666666666669,1.8472174156696255,9.331724702675274,55.53143359997193,1.0,27.368,17.006
road_risk,hotspot,log_distance,hotspot,0.0,proposed_full,DCEE,5,100,2.1289447240850388,240.19328967145347,576.1029154529086,10.788666666666668,1.8265532971928546,9.498115610180118,114.08230140004162,1.0,36.646,9.988
road_risk,hotspot,log_distance,hotspot,0.0,full_candidate_exact,FC-Common,5,100,2.136157313293403,238.60959983345924,582.1978776930147,10.910666666666668,1.820393251630125,9.933431416841486,133.99166759996297,1.0,42.716,17.02
road_risk,hotspot,log_distance,hotspot,0.0,anchored_mobility,Anchored-Mobility,5,100,2.108145782769634,223.04383602151572,576.7179368225686,10.790666666666668,1.8377900637216948,9.578136255012167,26.99340800002392,1.0,7.572,17.024
road_risk,hotspot,log_distance,hotspot,0.0,static_uav,Static-Hovering,5,100,1.8862742779255413,273.22856202654015,678.1525442574139,12.549333333333331,3.0437053971742007,0.0,12.121040200079733,1.0,4.294,1.0
road_risk,hotspot,log_distance,hotspot,0.0,freshness_priority,Freshness-Priority,5,100,2.008794297053334,342.11893073015614,570.3720686493469,10.668666666666669,1.8472199534841458,9.37484994287363,55.92170979999355,1.0,27.756,17.004
