scenario,scale_axis,scale_value,method,method_label,records,mean_ms_per_slot,p95_ms_per_slot,mean_solver_ms_per_slot,p95_solver_ms_per_slot,inner_solves_per_slot,serial_solve_count_per_slot,parallelizable_solve_count_per_slot,mean_solver_iterations_per_slot,p95_solver_iterations_per_slot,solver_success_rate,mean_candidate_family_size
balanced_methods,method,balanced,proposed_full,DCEE,40,81.85093999986748,212.69931999968318,81.85093999986748,212.69931999968318,10.025,10.025,10.025,36.4,82.29999999999993,1.0,10.025
balanced_methods,method,balanced,full_candidate_exact,FC-Common,40,88.95471750001889,155.07986999946297,88.95471750001889,155.07986999946297,17.05,17.05,17.05,38.05,77.05,1.0,17.05
balanced_methods,method,balanced,anchored_mobility,Anchored-Mobility,40,27.844077500049025,70.53882499994862,27.844077500049025,70.53882499994862,17.025,17.025,17.025,9.725,26.399999999999977,1.0,17.025
balanced_methods,method,balanced,regularized_execution,Regularized-Execution,40,42.11918750006589,96.40224499971727,42.11918750006589,96.40224499971727,1.0,1.0,1.0,17.4,40.84999999999995,1.0,1.0
balanced_methods,method,balanced,static_uav,Static-Hovering,40,17.140694999989137,60.77665500060901,17.140694999989137,60.77665500060901,1.0,1.0,1.0,7.225,19.19999999999999,1.0,1.0
balanced_methods,method,balanced,freshness_priority,Freshness-Priority,40,55.2162775000852,124.97663000076491,55.2162775000852,124.97663000076491,17.025,17.025,17.025,25.1,63.05,1.0,17.025
K3,K,3,proposed_full,DCEE,40,54.91611500001454,98.90536999955656,54.91611500001454,98.90536999955656,10.2,10.2,10.2,28.2,50.099999999999994,1.0,10.2
K6,K,6,proposed_full,DCEE,40,91.00599249991319,222.74070499961454,91.00599249991319,222.74070499961454,10.025,10.025,10.025,36.4,82.29999999999993,1.0,10.025
K9,K,9,proposed_full,DCEE,40,69.68730750008945,147.40385999994032,69.68730750008945,147.40385999994032,10.4,10.4,10.4,25.8,46.599999999999966,1.0,10.4
S2,S,2,proposed_full,DCEE,40,84.05238499985899,211.39483999895668,84.05238499985899,211.39483999895668,10.0,10.0,10.0,40.675,104.49999999999997,1.0,10.0
S3,S,3,proposed_full,DCEE,40,81.0908849999123,191.1498749995188,81.0908849999123,191.1498749995188,10.025,10.025,10.025,36.4,82.29999999999993,1.0,10.025
S5,S,5,proposed_full,DCEE,40,98.61104499977955,188.95540000139587,98.61104499977955,188.95540000139587,10.075,10.075,10.075,30.225,61.39999999999998,1.0,10.075
shortlist5,shortlist,5,proposed_full,DCEE,40,55.9518874999867,137.25290499933166,55.9518874999867,137.25290499933166,4.025,4.025,4.025,23.9,59.54999999999997,1.0,4.025
shortlist11,shortlist,11,proposed_full,DCEE,40,80.80188499998258,191.06628999907113,80.80188499998258,191.06628999907113,10.025,10.025,10.025,36.4,82.29999999999993,1.0,10.025
shortlist15,shortlist,15,proposed_full,DCEE,40,104.04888499997469,264.24836000151106,104.04888499997469,264.24836000151106,14.025,14.025,14.025,44.25,114.1,1.0,14.025
