profile,method,method_label,component,mean_slack,p5_slack,violation_ratio,records
balanced,proposed_full,DCEE,data_service,0.8199294325401424,-10.0,0.565,2000
balanced,proposed_full,DCEE,aoi,-11.030333333333331,-15.0,0.982,2000
balanced,proposed_full,DCEE,uncertainty,-0.1887599001047437,-3.0000251641910545,0.4485,2000
balanced,full_candidate_exact,FC-Common,data_service,0.7988958923067632,-10.0,0.5745,2000
balanced,full_candidate_exact,FC-Common,aoi,-11.072,-15.0,0.983,2000
balanced,full_candidate_exact,FC-Common,uncertainty,-0.1804352375668086,-2.9990802851444154,0.442,2000
balanced,anchored_mobility,Anchored-Mobility,data_service,1.4595512483323807,-9.99999993682576,0.5275,2000
balanced,anchored_mobility,Anchored-Mobility,aoi,-10.964333333333332,-15.0,0.983,2000
balanced,anchored_mobility,Anchored-Mobility,uncertainty,-0.2009110568963076,-3.032961541089061,0.4525,2000
balanced,static_uav,Static-Hovering,data_service,-0.4134485115825722,-11.0,0.691,2000
balanced,static_uav,Static-Hovering,aoi,-13.597166666666666,-15.0,0.9855,2000
balanced,static_uav,Static-Hovering,uncertainty,-3.466785542038144,-5.225938208293337,0.934,2000
balanced,freshness_priority,Freshness-Priority,data_service,-6.666999984662472,-12.0,0.996,2000
balanced,freshness_priority,Freshness-Priority,aoi,-10.975333333333332,-15.0,0.9815,2000
balanced,freshness_priority,Freshness-Priority,uncertainty,-0.1874821109475664,-3.2564304722684385,0.4125,2000
slater_relaxed,proposed_full,DCEE,data_service,0.7585637004518717,-2.0,0.297,2000
slater_relaxed,proposed_full,DCEE,aoi,1.7838333333333334,1.0,0.0,2000
slater_relaxed,proposed_full,DCEE,uncertainty,5.18535131902383,3.933460754418236,0.0,2000
